name,old_id,id,tier_ii_plus,tier_ii,tier_i,domestic_production,imports_web,imports_from,exports_web,exports_to,lat,lon,desc,source
Israel,376,ISR,1,1,1,1,<span>none</span>,none,<span>Algeria</span><span>Angola</span><span>Australia</span><span>Azerbaijan</span><span>Botswana</span><span>Brazil</span><span>Canada</span><span>Chile</span><span>China</span><span>Columbia</span><span>Croatia</span><span>Ecuador</span><span>Ethiopia</span><span>Finland</span><span>France</span><span>Germany</span><span>Georgia</span><span>Hungary</span><span>India</span><span>Indonesia</span><span>Ivory Coast</span><span>Kazakhstan</span><span>Mexico</span><span>Nigeria</span><span>Philippines</span><span>Russia</span><span>Singapore</span><span>Slovakia</span><span>South Korea</span><span>Spain</span><span>Sri Lanka</span><span>Thailand</span><span>Turkey</span><span>Uganda</span><span>Ukraine</span><span>United Kingdom</span><span>United States of America</span>,"Algeria, Angola, Australia, Azerbaijan, Botswana, Brazil, Canada, Chile, China, Columbia, Croatia, Ecuador, Ethiopia, Finland, France, Germany, Georgia, Hungary, India, Indonesia, Ivory Coast, Kazakhstan, Mexico, Nigeria, Philippines, Russia, Singapore, Slovakia, South Korea, Spain, Sri Lanka, Thailand, Turkey, Uganda, Ukraine, United Kingdom, United States of America",30.94244559,34.86974755,"Israel has domestic production of drones and imports drone engines from the United Kingdom. Israel is the largest exporter of drones in the world, responsible for 41 percent of all drones exported between 2001 and 2011, according to a database compiled by the Stockholm International Peace Research Institute, though it refuses to release the full list of countries to which it has sold military arms. A partial list of recipients includes the U.S., U.K., Canada, France, Australia, Germany, Spain, Brazil, India, China, Poland, the Netherlands, Azerbaijan, and Nigeria. U.S. consulting firm Frost & Sullivan reported in 2013 that Israel exported nearly $4.6 billion worth of systems between 2005 and 2012.","Rueters: http://www.reuters.com/article/2011/12/05/us-israel-drones-idUSTRE7B40XH20111205, Post: http://www.washingtonpost.com/world/national-security/in-gaza-lives-shaped-by-drones/2011/11/30/gIQAjaP6OO_story.htm, Haaretz: . http://www.haaretz.com/news/diplomacy-defense/1.567696, Salon: http://www.salon.com/2012/05/15/israels_drone_dominance/, WSJ: http://online.wsj.com/article/SB10001424052748703374304575622350604500556.html, AJE: http://www.aljazeera.com/programmes/peopleandpower/2014/04/201442911431250545.html, Haaretz: http://www.haaretz.com/news/diplomacy-defense/israel-is-world-s-largest-exporter-of-drones-study-finds.premium-1.524771#, AP: http://www.huffingtonpost.com/2013/06/05/israel-world-largest-drone-exporter_n_3392034.html"
Italy,380,ITA,0,0,1,1,<span>United States of America</span>,United States of America,<span>none</span>,none,42.88724067,12.62349234,"Italy has domestic production of Hammerhead drones. Imports from the U.S. include the RQ-1B Reaper drones. Reports indicate that the United States planned to arm Italy's MQ-9 Reaper drones in Afghanistan with Hellfire missiles. Italy is also pursuing development of Black MALE.   Italy has joined with France, Germany, Netherlands, Poland and Spain to create a _drone users club"" intended to compete with the Israeli and U.S. drone markets.  Italy produces Medium Altitude Long Endurance nEUROn drones in conjunction with Sweden, Switzerland, Spain, Greece and France.",
Ivory Coast,384,CIV,0,0,1,0,<span>Israel</span>,Israel,<span>none</span>,none,7.627839044,-5.569010555,The Ivory Coast has imported drones from Israel. They have also sent a request to the U.N. for drones to monitor their border with Liberia.,
Japan,392,JPN,0,0,1,1,<span>none</span>,none,<span>China</span>,China,36.8805847,139.4093269,"Japan has domestic production of drones.In 2013, Japan planned on purchasing three drones to build-up the nation's defense. The U.S. deployed two Global Hawk drones to Japan.",
Jordan,400,JOR,0,0,1,0,<span>none</span>,none,<span>none</span>,none,31.27502911,36.39188938,"Jordan has domestic production of drones and co-production of drones with an Italian company. The Jordan Falcon drones, produced as a result of a joint venture between the King Abdullah II Design and Development Bureau and Jordan Aerospace industries, is a light-class unarmed drones capable of reconnaissance, surveillance, and target designation/tracking. ",
Kazakhstan,398,KAZ,0,0,1,0,<span>Israel</span><span>Russia</span>,"Israel, Russia",<span>none</span>,none,48.16067093,67.29601258,Kazakhstan imported the Orbiter drones from Israel in 2008 and has also reportedly imported ten Irkut drones from Russia. Kazakhstan is in talks with the Israeli companies Elbit and IAI to establish a tactical drones manufacturing facility in the country in 2013. Kazakhstan also signed a deal with Sagem in 2010 to jointly produce drones within Kazakhstan; however this agreement has yet to manifest.,
Kenya,404,KEN,0,0,0,,<span></span>,,<span></span>,,-0.023559,37.906193,"Kenya has imported drones from Israeli companies. U.S. gave eight small Raven drones, which Kenya has used to surveil militants and pachers.",
Latvia,428,LVA,0,0,1,1,<span>none</span>,none,<span>none</span>,none,56.85176106,24.90912823,"Latvia has domestic production of drones manufactured by UAV Factory, which produces the Penguin B, BE & C drones.",
Lebanon,422,LBN,0,0,1,0,<span>United States of America</span>,United States of America,<span>none</span>,none,33.92039761,35.88027232,Lebanon was given twelve Raven UAV by the United States as part of a military aid package.,
Libya,434,LBY,0,0,1,1,<span>none</span>,none,<span>none</span>,none,32.49,13.07,Libyan Air Force uses drones for aerial surveillance; no reports on how Libya acquired the drones.,
Lithuania,440,LTU,0,0,1,0,<span>none</span>,none,<span>none</span>,none,54.38,25.19,"Lithuania contributed over $6.5 million to NATOÕs Alliance Ground Surveillance (AGS) division developed by NATO and set to be put in place by 2015.[ccxvii] The NATO AGS is an alliance between 14 nations who will share 5 Global Hawk RQ-4B drones for high altitude reconnaissance and surveillance over large areas of land.[ccxviii],[ccxix]",
Luxembourg,442,LUX,0,0,1,,<span></span>,,<span></span>,,,,"Participating in NATO's Alliance Ground Surveillance program, a consortium of 15 countries that will maintain five Global Hawk high altitude long endurance drones.",
Malaysia,458,MYS,0,0,1,1,<span>none</span>,none,<span>none</span>,none,4.004447077,108.1746513,"Malaysia has domestic production of drones manufactured by three companies, Composites Technology Research Malaysia (CTRM), Systems Consultancy Sdn Bhd (SCS), and Ikramatic Sdn Bhn, who partnered to form Unmanned Systems Technology Sdn Bhd (UST). UST produces Aludra low altitude long endurance drones and worked with Adcom Systems, a United Arab Emirates company to develop the Yabhon Aludra medium altitude long endurance drone.",
Mexico,484,MEX,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,23.94754633,-102.5270403,Mexico has domestic production of drones operating at least 100 and has also imported Hermes 450 drones from Israel. ,
Morocco,504,MAR,0,0,1,1,<span>none</span>,none,<span>none</span>,none,30.78546372,-7.352822163,The status of drones in Morocco is uncertain. General Atomics received an export license to sell an unarmed Predator drones to Morocco but it is unclear whether that deal has been completed. Unsubstantiated reports that Morocco purchased three surplus Israeli-made Heron drones from France. Unsubstantiated release from the Royal Moroccan Armed Forces announced its pre-production search and development phase of drones for 2014-2015.,
Netherlands,528,NLD,0,0,1,1,<span>France</span><span>United States of America</span><span>Denmark</span>,"France, United States of America, Denmark",<span>none</span>,none,52.33612442,5.669038978,"The Netherlands has domestic production of drones and imports drones from Israel and possibly from France, owning around 75 drones They have acquired four MQ-9 Reaper Medium Altitude Long Endurance Drones from the United States and  are expected to have full operational capability at the end of 2017.",
New Zealand,554,NZL,0,0,1,1,<span>United States of America</span>,United States of America,<span>none</span>,none,-41.96212798,173.0323093,New Zealand domestically produces the AeroHawk drone and has purchased Predator drones from the United States.,
Niger,562,NER,0,0,1,,<span>none</span>,none,<span>none</span>,none,17.41846424,9.386034472,Niger has no drone capabilities but the United States has two MQ-9 Reapers drones based there to aid in the fight against al Qaeda.,
Nigeria,566,NGA,0,0,1,0,<span>Israel</span>,Israel,<span>none</span>,none,10,8,"Nigeria has imported Heron drones from Israel. The domestically produced GULMA drone was revealed in 2013. The Nigerian Air Force Institute of Technology (AFIT) produced the GULMA drones that barely meets the Tier II classification flying at a maximum altitude of 10,000 feet, reaching a top speed of 86 knots and possessing an endurance of 5.8 hours.",
Norway,578,NOR,0,0,1,1,<span>none</span>,none,<span>none</span>,none,61.26020021,9.078549194,Norway has domestic production of Black Hornet pocket drones by Prox Dynamics and has been asked by the United States to develop the pocket-sized drone for the U.S. Army.,
Pakistan,586,PAK,0,0,1,1,<span>China</span><span>United States of America</span>,"China, United States of America",<span>none</span>,none,29.94883006,69.34185214,"Pakistan has domestic production of drones, first deployed in 2013 and has imported drones from China and United States.  There has been reported co-production of drones with Italian and Chinese manufacturers in separate projects.  It is unclear whether or not Pakistan's domestic drones are armed or not, however, military officials have claimed that the drones are for surveillance only. ",
Panama,591,PAN,0,0,1,0,<span>United States of America</span>,United States of America,<span>none</span>,none,9,79.25,Panama planned on importing $300 million in drones from the United States and at one time was considering purchasing Heron drones from Israel. ,
Peru,604,PER,0,0,1,1,<span>none</span>,none,<span>none</span>,none,-9.851600307,-75.51474036,Peru has domestic production of three drone models and has imported five Israeli drones for both military and non-military purposes.,
Philippines,608,PHL,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,11.76338277,122.8747136,The Philippines have domestic production of Raptor and Knight Falcon drones and have imported drones from Israel.  The Army is developing a third drone model that will combine the features of the Raptor and Knight Falcon drones.,
Poland,616,POL,0,0,1,1,<span>United States of America</span>,United States of America,<span>none</span>,none,52.12467174,19.39445112,"Poland has domestic production of drones and imports drones from U.S. and Israel. In May 2014, the Polish government announced that it would be replacing its aging fighter jets with  armed drones by 2022, the first of which will be acquired in 2016.",
Portugal,620,PRT,0,0,1,1,<span>none</span>,none,<span>none</span>,none,39.55022731,-8.270465604,Portugal has domestic production of drones.,
Republic of Serbia,688,SRB,0,0,1,1,<span>none</span>,none,<span>none</span>,none,44.5,20.37,Serbia has domestic production of drones and purchased Israeli Orbiter drones in 2008.,
Romania,642,ROU,0,0,1,1,<span>United States of America</span>,United States of America,<span>none</span>,none,45.85341254,24.97309938,,
Russia,643,RUS,0,0,1,1,<span>Israel</span>,Israel,<span>Belarus</span><span>Kazakhstan</span>,"Belarus, Kazakhstan",61.98347077,96.68898114,"Russia has domestic production of drones and plans to invest an additional $8.9 billion in production. In 2009, Russia purchased $150 million on drones from Israel.   Construction of a co-produced mini drone with Vietnam was announced in 2012.  Russia is developing its first long range drones capable of conducting ground attack missions, scheduled for deployment by 2016.NBC News reported that Russia is developing a 20 ton attack drones whose prototype could be ready by 2020. Russia will conduct test flights in the UAE of a drone aircraft capable of carrying Namrod air-surface guided missiles.",
Singapore,702,,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,1.358790815,103.8137972,Singapore has domestic production of Skyblade drones and imports Hermes drones from Israel. ,
Slovakia,703,SVK,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,48.70493504,19.48038292,"Slovakia has domestic production of drones. Reports that Skylark drones have been imported from Israel lack credibility. Slovakia is participating in NATO's Alliance Ground Surveillance program, a consortium of 15 countries that will maintain five Global Hawk high altitude long endurance drones.",
Slovenia,705,SVN,0,0,1,1,<span>none</span>,none,<span>none</span>,none,46.11613587,14.80813927,"Slovenia has domestic production of drones. Participating in NATO's Alliance Ground Surveillance program, a consortium of 15 countries that will maintain five Global Hawk high altitude long endurance drones.",
South Africa,710,ZAF,0,0,1,1,<span>none</span>,none,<span>Algeria</span><span>United Arab Emirates</span>,"Algeria, United Arab Emirates",-30.52714279,23.02399051,South Africa has domestic production of drones and exports to Algeria and UAE. South Africa reportedly agreed to help Saudi Arabia develop armed drones in April 2013.,
South Korea,410,KOR,0,0,1,1,<span>Israel</span><span>United States of America</span>,"Israel, United States of America",<span>none</span>,none,36.46441371,127.9738728,South Korea has domestic production of drones. Reports of both  imports from Israel and a joint development program with Israel. South Korea is struck a deal witht the United States to import four RQ-4 Block 30 Global Hawk drones that are expected to be delivered between 2017 and 2019.,
Spain,724,ESP,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,40.79586712,-3.289231856,"Spain has domestic production of drones and used Israeli Heron drones in Afghanistan.  Spain joined with France, Germany, Greece, Italy, the Netherlands and Poland to create a _drones users club"" with the hopes of catching up to United States and Israel's drone capabilities. Spain has worked with Greece, Sweden, Switzerland, Italy and France to develop the Medium Altitude Long Endurance nEUROn drones.",
Sri Lanka,144,LKA,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,7.615738331,80.7035495,Sri Lanka has imported Searcher II and Scout drones from Israel.,
Sweden,752,SWE,0,0,1,1,<span>none</span>,none,<span>Vietnam</span>,Vietnam,65.12686249,17.93412497,"Sweden has domestic production of drones. Sweden worked with Greece, Switzerland, Spain, Italy and France to produce the nEUROn Medium Altitude Long Endurance drone.[ccxcii] Sweden entered into an agreement with Vietnam to provide drones technology and help in producing drones.",
Switzerland,756,CHE,0,0,1,1,<span>none</span>,none,<span>none</span>,none,46.79902293,8.2153826,"Switzerland has domestic production of drones.  Switzerland also produces nEUROn drones in cooperation with Greece, Sweden, Spain, Italy and France. Switzerland is contemplating importing drones from Israel to replace outdated Ranger UAVs developed in conjunction with Israel.",
Taiwan,158,TWN,0,0,1,1,<span>none</span>,none,<span>none</span>,none,24,121,Taiwan has domestic production of drones and is developing drones similar to the Predator MQ-9.,
Tanzania,834,TZA,0,0,0,0,<span></span>,,<span></span>,,6.369028,34.888822,There are allegations that Tanzania has imported from Israel.Discussed anti-poaching program with the United States that would give Tanzania drones to track and patrol endangered species.,
Thailand,764,THA,0,0,1,0,<span>Germany</span><span>Israel</span>,"Germany, Israel",<span>none</span>,none,15.77807041,101.5546735,"Thailand imports SeaFox submersible mining drones from Germany, Searcher drones Israel, Ravens from the United States, three drones from Malaysia, and Silvertone Flamingo drones from Australia. Thailand's Royal Thai Air Force Commander in Chief announced plans to request funds to continue development of a drone developed domestically.",
Tunisia,788,TUN,0,0,1,1,<span>none</span>,none,<span>none</span>,none,33.92558614,8.954554029,Tunisia has domestic production of drones by Tunisia Aero Technologies Industries S.A.,
Turkey,792,TUR,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,39.06095786,35.16731341,Turkey has domestic production of drones and has imported Heron and Aerostar drones from Israel. The Turkish government signed a contract to acquire 10 medium altitude long endurance drones from Turkish Aerospace Industries to be delivered in 2016 and are capable of being armed.,
Uganda,800,UGA,0,0,1,0,<span>Israel</span><span>United States of America</span>,"Israel, United States of America",<span>none</span>,none,1.275691185,32.36703985,Uganda has four Raven drones as part of military aid package from the United States to combat al Shabaab in Somalia.Uganda also imported two Orbiter 2 drones from Israel.,
Ukraine,804,UKR,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,49.25255534,31.2795956,Ukraine has leftover Soviet-made drones still being used for surveillance.Civilians started a crowdfunding campaign to raise money and build a drone for surveillance use.,
United Arab Emirates,784,ARE,0,0,1,1,<span>South Africa</span><span>United States of America</span>,"South Africa, United States of America",<span>none</span>,none,23.61630014,54.16014491,"The U.A.E. has domestic production of drones and imports drones from the U.S.  Reportedly in talks to export Adcom Systems Yabhon United 40 Block 5 drones to Algeria and Russia. In 2009, reportedly engaged in talks with Israel for the export of drone supply components.",
United Kingdom,826,GBR,1,1,1,1,<span>United States of America</span><span>Israel</span>,"United States of America, Israel",<span>none</span>,none,52.68182558,-1.72438047,"The United Kingdom has domestic production of drones, imports drones from United States, and has very limited (one drone) imports from Israel.",
United States of America,840,USA,1,1,1,1,<span>Israel</span>,Israel,<span>Australia</span><span>Burundi</span><span>Colombia</span><span>Denmark</span><span>Egypt</span><span>Estonia</span><span>France</span><span>Germany</span><span>Iraq</span><span>Italy</span><span>Lebanon</span><span>Netherlands</span><span>New Zealand</span><span>Panama</span><span>Pakistan</span><span>Poland</span><span>Romania</span><span>South Korea</span><span>Uganda</span><span>United Arab Emirates</span><span>United Kingdom</span>,"Australia, Burundi, Colombia, Denmark, Egypt, Estonia, France, Germany, Iraq, Italy, Lebanon, Netherlands, New Zealand, Panama, Pakistan, Poland, Romania, South Korea, Uganda, United Arab Emirates, United Kingdom",39.62096467,-101.1189912,"The United States has domestic production of drones and has imported drones from Israel. In 2012, the Pentagon asked Congress for nearly $5 billion for new drone systems.","WSJ: http://online.wsj.com/news/articles/SB10001424127887323764804578314501943739028?mg=reno64-wsj&url=http%3A%2F%2Fonline.wsj.com%2Farticle%2FSB10001424127887323764804578314501943739028.html, http://online.wsj.com/article/SB10001424052970204844504577098583174059746.html, FAS: http://www.fas.org/sgp/crs/natsec/R42136.pdf"
