name,old_id,id,tier_ii_plus,tier_ii,tier_i,domestic_production,imports_from,exports_to,NATO,Unsubstantiated Imports,Unsubstantiated Exports,lat,lon,desc,source
Denmark,208,DNK,0,0,1,1,"France, United States, Armenia, Netherlands",none,1,,,55.96471679,10.05066968,"Drones are produced domestically. Denmark has purchased Puma UAVs from the United States. Two Raven drones have been loaned by the Netherlands for training purposes in 2012. Ten Krunk drones have been exported from Armenia for agronomic research. Military reconnaissance drones are produced domestically with no payload capacity, but the Huggin X1 drones can be linked with a Canadian built (Colt Canada) network platform mounted to a soldier's weapon designed to provide surveillance based upon the direction and angle of the soldier's weapon. Participating in NATO's Airborne Ground Surveillance Program which will give NATO five HALE drones by 2017.","Army Recognition: http://www.armyrecognition.com/danish_denmark_military_defence_equipment_uk/sky-watch_huginn_x1_x2_drones_unmanned_aerial_vehicle_technical_data_sheet_specifications_description.html, Flight Global: http://www.flightglobal.com/news/articles/denmark-signs-deal-for-handheld-puma-uavs-372950/, Radio Netherlands Worldwide: http://www.rnw.nl/english/bulletin/denmark-borrows-dutch-drones, PanArmenian: http://www.panarmenian.net/eng/news/170824/Armenia_to_export_drones_to_DenmarkArmenian, Defense News: http://www.defensenews.com/article/20130624/DEFFEAT01/306240019/Aim-Fire-Fly-UAV, NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm"
Ecuador,218,ECU,0,1,0,0,Israel,none,0,,,-1.424746988,-78.34819205,Ecuador has imported Heron 1 and Searcher-2 drones from Israel and is producing prototypes of domestic drones. ,"Der Spiegel: http://www.spiegel.de/international/world/messengers-of-death-are-drones-creating-a-new-global-arms-race-a-792590-2.html, Institute for National Security Studies: http://inss.web2.moonsite.co.il/uploadimages/SystemFiles/israel-2012.pdf, CSM: http://www.csmonitor.com/World/Americas/2011/0420/Spread-of-drone-programs-in-Latin-America-sparks-calls-for-code-of-conduct, COHA: http://www.coha.org/coha-report-drones-in-latin-america/"
Egypt,818,EGY,0,0,1,1,United States,none,0,,,27,30,"Egypt has imported R4E SkyEye and M324 Scarab tactical drones from the United States and ten ANKA drones from Turkey. General Atomics, a US company, received export licenses to sell an unarmed export version of the Predator to Egypt in 2010. Egypt has also domestically produced twelve ASN-209 drones in cooperation with a Chinese company.","Flight Global: http://www.flightglobal.com/news/articles/egypt-plans-tactical-uav-modernisation-208913/, JPost: http://www.jpost.com/Middle-East/Egyptians-to-purchase-Turkish-made-drones, Bloomberg: http://www.bloomberg.com/news/2010-07-20/general-atomics-gains-approval-to-sell-predator-drones-to-pakistan-egypt.html, SUAS News: http://www.suasnews.com/2012/05/15804/egypt-nation-produces-uav-in-cooperation-with-china/, Strategy Page: https://www.strategypage.com/htmw/htairfo/20120524.aspx"
Estonia,233,EST,0,0,1,1,United States,Georgia,1,,,58.6708374,25.53595675,"Estonia domestically produces UAS Swan drones which are only outfitted with camera technology and have been exported to Georgia. There are reports that Estonia plans to purchase surveillance drones, such as the RQ-4 Global Hawk UAV and RQ-11 Raven, within the next few years. Participating in NATO's Airborne Ground Surveillance Program which will give NATO five HALE drones by 2017.","ELI Military Simulations: http://www.eli.ee/products/7/unmanned-aerial-system-swan-ii, MinnPost: http://www.minnpost.com/global-post/2012/10/how-russia-and-georgias-little-war-started-drone-arms-race, Embassy of Estonia: http://estonia.usembassy.gov/sp_102510.html, Defense News: http://www.defensenews.com/article/20140513/DEFREG01/305130032/Ukraine-Crisis-Speeds-E-European-UAV-Efforts, NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm"
Ethiopia,231,ETH,0,0,1,1,Israel,none,0,,,8,38,"Ethiopia has claimed to domestically developed and produced drones, and has also imported BlueBird drones from Israel.  The U.S. is operating drone bases out of Ethiopia. ","Sudan Tribune: http://allafrica.com/stories/201302150091.html, Haaretz: http://www.haaretz.com/news/diplomacy-defense/israel-is-world-s-largest-exporter-of-drones-study-finds.premium-1.524771#, Flight Global: http://www.flightglobal.com/news/articles/ethiopian-army-to-get-bluebird-uavs-355404/, Washington Post: http://www.washingtonpost.com/world/national-security/us-drones-base-in-ethiopia-is-operational/2011/10/27/gIQAznKwMM_story.html, BBC: http://www.bbc.co.uk/news/world-africa-15488804"
Finland,246,FIN,0,0,1,1,Israel,none,0,,,62.52242187,26.17909626,Finland has domestic production of drones but has also imported from Israel. ,"BBC: http://www.bbc.com/news/technology-27485418, Defense News: http://www.defensenews.com/article/20120516/DEFREG04/305160004/Israeli-Company-Wins-Finnish-Mini-DRONES-Bid"
France,250,FRA,0,1,1,1,"Israel, Canada, United States","Greece, Denmark",0,,"Morrocco, Netherlands",47.01047927,2.1591001,"France has domestic productionof drones but also imports from Israel and Canada.  Collaboration with Britain; Italy, Switzerland, Sweden, Spain, Greece; and with Germany in producing drones.   Imports from the U.S. include unarmed MQ-9 Reaper drones. France deployed two of the recently purchased unarmed Reaper drones to Niger to support the mission in Mali. France has joined with Germany, Greece, Italy, Netherlands, Poland, and Spain to create a _drone users club"" intended to compete with Israeli and U.S. drones markets. Morocco is considering purchasing France's surplus Israeli Drones.","Safran Group: http://www.safran-group.com/site-safran-en/press-media/press-releases/2012-785/article/sagem-awarded-new-tactical-drone?12204, Haaretz: http://www.haaretz.com/news/diplomacy-defense/france-to-buy-israeli-made-drones-42-years-after-it-banned-weapons-sales-to-israel-1.374991, Reuters:"" http://www.reuters.com/article/2013/05/19/us-france-drones-idUSBRE94I04H20130519, UPI: http://www.upi.com/Business_News/Security-Industry/2009/10/21/French-Air-Force-wants-more-drones/UPI-73141256146860/, Huff Post: http://www.huffingtonpost.co.uk/2012/12/03/neuron-europes-first-stealth-drone-test-flight_n_2230316.html, Reuters: http://uk.reuters.com/article/2014/05/19/uk-europe-defence-drones-idUKKBN0DZ0ZQ20140519 and http://www.reuters.com/article/2013/12/19/us-mali-france-drones-idUSBRE9BI0VY20131219, AFP: http://www.huffingtonpost.com/2013/07/15/france-reaper-drones-us_n_3600549.html, Bloomberg: http://www.bloomberg.com/news/2014-07-21/hollande-greeted-by-drones-as-military-deployed-across-sahel.html, USA Today: http://www.usatoday.com/story/news/world/2013/11/19/europe-drones/3640273/, World Tribune: http://www.worldtribune.com/2014/01/20/morocco-said-to-buy-israeli-designed-drones-from-france/  "
Georgia,268,GEO,0,1,1,1,"Estonia, Israel",none,0,,,41.43,44.5,Georgia has domestic production of drones and imported Hermes 450 and Skylark drones from Israel and Swan drones from Estonia.,"Rustavi: http://rustavi2.com/news/news_text.php?id_news=45155&pg=1&im=main&ct=0&wth=0, Eurasianet: http://www.eurasianet.org/node/65250, NYT: http://www.nytimes.com/2008/05/27/world/europe/27georgia.html, RIA Novosti: http://en.ria.ru/military_news/20120409/172711721.html, MinnPost: http://www.minnpost.com/global-post/2012/10/how-russia-and-georgias-little-war-started-drone-arms-race"
Germany,276,DEU,0,1,1,1,"Israel, United States",Thailand,1,,China,51.10621317,10.38154835,"Germany has domestic production of mini-drones and short-range drones. Germany was collaborating with the European aerospace company EADS to develop five Euro Hawk drones, based on the U.S. Global Hawk, but the program was cancelled in 2013. Germany then joined six other EU states to create Medium Altitude Long Endurance drones intended to compete with Israeli and U.S. drone firms. Germany has imported three Heron drones from Israel which were used in Afghanistan. Participating in NATO's Airborne Ground Surveillance Program which will give NATO five HALE drones by 2017.","Defense Industry Daily: http://www.defenseindustrydaily.com/euro-hawk-program-cleared-for-takeoff-03051/, EU Observer: http://euobserver.com/defence/122167, Der Spiegel: http://www.spiegel.de/international/germany/the-bundeswehr-s-new-drone-german-air-force-unveils-powerful-spy-plane-a-791419.html, Der Spiegel: http://www.spiegel.de/international/world/messengers-of-death-are-drones-creating-a-new-global-arms-race-a-792590-2.html, LUNA UAV: http://www.emt-penzberg.de/en/produkte/drohnensystem/luna.html, NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm"
Greece,300,GRC,0,0,1,1,France,none,0,Israel,,39.05121967,22.9751402,"Greece has domestic production of Medium Altitude Long Endurance drones in conjunction with Sweden, Switzerland, Spain, Italy and France. Sperwer MkII UAVs have been imported from France. Unsubstantiated report that Greece was looking to purchase drones from Israel.","CNN: http://www.cnn.com/2012/10/01/opinion/bergen-world-of-drones/, Safran Group: http://www.safran-na.com/spip.php?rubrique61, Armed Forces International: http://www.armedforces-int.com/news/sperwer-mk-ii-uavs-for-french-army.html, Israel's Homeland Security Home: i-hls.com/2014/06/greece-wants-israeli-drones/"
