name,old_id,id,tier_ii_plus,tier_ii,tier_i,domestic_production,imports_from,exports_to,NATO,Unsubstantiated Imports,Unsubstantiated Exports,lat,lon,desc,source
Thailand,764,THA,0,1,1,0,"Germany, Israel",none,0,,,15.77807041,101.5546735,"Thailand imports SeaFox submersible mining drones from Germany, Searcher and Aerostar drones Israel, Ravens from the United States, three drones from Malaysia, and Silvertone Flamingo drones from Australia. Thailand's Royal Thai Air Force Commander in Chief announced plans to request funds to continue development of a drone developed domestically.","UPI: http://www.upi.com/Business_News/Security-Industry/2011/12/15/Thailand-signs-up-for-drone-mine-hunters/UPI-97621323948540/#ixzz1yMM1wXqy, Defence Review Asia: http://www.defencereviewasia.com/articles/195/Asian-region-UAV-capability-on-the-rise, Thai Intel Diplomacy News: http://aseandefense.wordpress.com/2013/07/02/thailand-to-develop-advance-drones-to-be-aseans-drone-hub/, Flight Global: http://www.flightglobal.com/news/articles/royal-thai-air-force-orders-aerostar-uavs-351460/"
Tunisia,788,TUN,0,0,1,1,none,none,0,,,33.92558614,8.954554029,Tunisia has domestic production of drones by Tunisia Aero Technologies Industries S.A.,Tunisia Aero Tech: http://tati-uas.com/uav-projects/
Turkey,792,TUR,0,1,1,1,Israel,none,0,,,39.06095786,35.16731341,Turkey has domestic production of ANKA drones and has imported Heron and Aerostar drones from Israel. The Turkish government signed a contract to acquire 10 medium altitude long endurance drones from Turkish Aerospace Industries to be delivered in 2016 and are capable of being armed.,"Today's Zaman: http://www.todayszaman.com/news-305039-mass-production-of-turkeys-first-national-uav-imminent.html, JPost: http://www.jpost.com/Middle-East/Egyptians-to-purchase-Turkish-made-drones, Turkish Weekly: http://www.turkishweekly.net/news/161521/turkey-prepares-to-launch-first-domestically-made-drones.html, Institute for National Security Studies: http://inss.web2.moonsite.co.il/uploadimages/SystemFiles/israel-2012.pdf"
United Arab Emirates,784,ARE,0,1,1,1,"South Africa, United States",none,0,China,,23.61630014,54.16014491,"The U.A.E. has domestic production of short-range and MALE drones and imports unarmed RQ-1 Predator XP drones from the U.S.  Reportedly in talks to export Adcom Systems Yabhon United 40 Block 5 drones to Algeria and Russia. In 2009, reportedly engaged in talks with Israel for the export of drone supply components. Unsubstantiated report that the UAE has imported armed drones from China.","Flight Global: http://www.flightglobal.com/news/articles/dubai-09-uae-designed-uav-almost-ready-to-fly-334988/, Defense Industry Daily: http://www.defenseindustrydaily.com/uae-tie-up-inroduces-the-rq-1-predator-xp-06787/, North Africa Post: http://northafricapost.com/4577-algeria-reinforcing-aerial-defense.html, Defense News: http://www.defensenews.com/article/20131209/DEFREG04/312090019/Russia-Conduct-Test-Flights-Emirati-Drones, Dawn: http://www.dawn.com/news/1017515/british-report-reveals-israels-arms-exports-to-pakistan, Asia Defense Forum Review: http://apdforum.com/en_GB/article/rmiap/articles/online/features/2013/06/28/china-adds-drones"
Uganda,800,UGA,0,0,1,0,"Israel, United States",none,0,,,1.275691185,32.36703985,Uganda has four Raven drones as part of military aid package from the United States to combat al Shabaab in Somalia.Uganda also imported two Orbiter 2 drones from Israel.,"BBC: http://www.bbc.com/news/world-africa-13946702, Haaretz: http://www.haaretz.com/news/diplomacy-defense/israel-is-world-s-largest-exporter-of-drones-study-finds.premium-1.524771#, Flight Global: http://www.flightglobal.com/news/articles/ugandan-army-to-acquire-orbiter-uavs-352890/"
Ukraine,804,UKR,0,0,1,1,Israel,none,0,,,49.25255534,31.2795956,Ukraine domestically produces mini and small drones and has leftover Soviet-made drones still being used for surveillance. Civilians started a crowdfunding campaign to raise money and build a drone for surveillance use.,"Discovery: http://news.discovery.com/tech/robotics/ukraines-reviving-retro-drones-to-tip-the-battle-scale-140808.htm, Guardian: http://www.theguardian.com/world/2014/jun/29/outgunned-ukrainian-army-crowdfunding-people-drone"
United Kingdom,826,GBR,1,1,1,1,"United States, Israel",none,0,,,52.68182558,-1.72438047,"The United Kingdom has domestic production of small, MALE, and Watchkeeper drones, based on an imported Hermes 450 drone from Israel, and is the only country to import armed (Reaper) drones from United States.","WSJ: http://online.wsj.com/article/SB10001424052970204844504577098583174059746.html, Military Factory: http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=824, Army Recognition: http://www.army-technology.com/projects/watchkeeper/"
United States,840,USA,1,1,1,1,Israel,"Australia, Burundi, Colombia, Denmark, Egypt, Estonia, France, Germany, Iraq, Italy, Lebanon, Netherlands, New Zealand, Panama, Pakistan, Poland, Romania, South Korea, Uganda, United Arab Emirates, United Kingdom",1,,Morrocco,39.62096467,-101.1189912,"The United States has domestic production of drones and has imported drones from Israel. In 2012, the Pentagon asked Congress for nearly $5 billion for new drone systems. The United States only exports armed drones to the United Kingdom. Participating in NATO's Airborne Ground Surveillance Program which will give NATO five HALE drones by 2017.","WSJ: http://online.wsj.com/news/articles/SB10001424127887323764804578314501943739028?mg=reno64-wsj&url=http%3A%2F%2Fonline.wsj.com%2Farticle%2FSB10001424127887323764804578314501943739028.html, http://online.wsj.com/article/SB10001424052970204844504577098583174059746.html, FAS: http://www.fas.org/sgp/crs/natsec/R42136.pdf, Defense Industry Daily: http://www.defenseindustrydaily.com/britain-requests-10-mq-9-reapers-for-over-1b-04536/, NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm"
Uruguay,858,URY,0,0,1,1,none,none,0,,,-32.80017287,-56.01756015,Uruguay has domestic production of drones for surveillance and surveying.,ASCOA: http://www.as-coa.org/articles/explainer-drones-latin-america
Venezuela,862,VEN,0,0,1,1,Iran,none,0,,,7.75758495,-66.17672166,"Reported domestic production of drones with the help of Iran, Russia, and China and plans to export drones in the near future.","Reuters: http://www.reuters.com/article/2012/06/14/us-venezuela-iran-drone-idUSBRE85D14N20120614, JPost: http://www.jpost.com/Iranian-Threat/News/Iran-admits-exporting-drone-tech-to-Venezuela, Global Post: http://www.globalpost.com/dispatch/news/regions/americas/venezuela/120615/venezuela-building-drones-iran-russia-china"
Vietnam,704,VNM,0,0,1,1,Belarus,none,0,,,14.3841673,108.2769862,Reports that mini drones are to be constructed with the help of Russia. Sweden entered into an agreement with Vietnam to provide drones technology and help in producing drones. Domestically built six drones that required engine and propeller parts imported from France and Japan that were approved for civilian and military use. Vietnam is to purchase drones from Belarus. Vietnam has used drones for the police.,"UPI: http://www.upi.com/Business_News/Security-Industry/2012/03/20/Russia-to-build-mini-uav-drones/UPI-67911332274228/, SUAS News: http://www.suasnews.com/2012/11/19783/vietnam-sweden-to-cooperate-in-unmanned-aircraft-manufacturing/, VOV: http://english.vov.vn/Society/Sweden-helps-Vietnam-manufacture-Drones/250656.vov, APDF: http://apdforum.com/en_GB/article/rmiap/articles/online/features/2013/06/06/vietnam-adds-drones, Washington Times: http://www.washingtontimes.com/news/2014/apr/28/europe-asia-plan-to-spend-big-on-drone-development/?page=all"
